gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat,S12_Block
69,61525.0,0,61525.0,7.7385547161102295,0,0,0,61525.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
70,61525.0,0,61525.0,7.473782539367676,0,0,0,61525.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
71,61515.0,0,61515.0,7.6326165199279785,0,0,0,61515.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
72,61500.0,0,61500.0,7.370676517486572,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
73,61500.0,0,61500.0,8.775985717773438,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
74,61500.0,0,61500.0,7.9773948192596436,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
75,61500.0,0,61500.0,7.36385440826416,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
76,61500.0,0,61500.0,7.336398363113403,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
77,61500.0,0,61500.0,8.122032403945923,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
78,61500.0,0,61500.0,7.757606506347656,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
79,61500.0,0,61500.0,7.492084264755249,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
80,61500.0,0,61500.0,8.18505859375,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
81,61500.0,0,61500.0,7.817988872528076,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
82,61500.0,0,61500.0,7.648648738861084,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
83,61500.0,0,61500.0,7.769127607345581,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
84,61500.0,0,61500.0,7.39473295211792,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
85,61500.0,0,61500.0,7.323131799697876,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
86,61500.0,0,61500.0,8.221094131469727,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
87,61500.0,0,61500.0,7.568013668060303,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
88,61500.0,0,61500.0,8.496422052383423,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
89,61500.0,0,61500.0,7.959211826324463,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
90,61500.0,0,61500.0,7.255063772201538,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
91,61500.0,0,61500.0,7.47796368598938,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
92,61500.0,0,61500.0,7.654583215713501,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
93,61500.0,0,61500.0,7.983880519866943,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
94,61500.0,0,61500.0,7.6585307121276855,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
95,61500.0,0,61500.0,7.743086338043213,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
96,61500.0,0,61500.0,8.804176807403564,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
97,61500.0,0,61500.0,8.044839859008789,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
98,61500.0,0,61500.0,7.362011671066284,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
99,61500.0,0,61500.0,7.3470587730407715,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
100,61500.0,0,61500.0,7.477176666259766,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
101,61500.0,0,61500.0,7.76664400100708,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
102,61500.0,0,61500.0,7.581149101257324,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
103,61500.0,0,61500.0,7.827602863311768,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
104,61500.0,0,61500.0,8.292041540145874,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
105,61500.0,0,61500.0,7.892762899398804,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
106,61500.0,0,61500.0,8.329911947250366,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
107,61480.0,0,61480.0,7.311283826828003,0,0,0,61480.0,0,0,0,0,0,1560,11160,4800,800,11000,30000
108,61480.0,0,61480.0,7.316830158233643,0,0,0,61480.0,0,0,0,0,0,1560,11160,4800,800,11000,30000
109,61470.0,0,61470.0,7.938473224639893,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
